Topic_group,Document,clean_document,word_count
Access,confluence access for wednesday february pm confluence please confluence thanks,confluence access for wednesday february pm confluence please confluence thanks,10
Access,password reset open access dear can you please help with rights for laptop order reset password going expire few days have mention working remote location be around december st also have issues connecting open due rights restrictions you think we could fix somehow best regards,password reset open access dear can you please help with rights for laptop order reset password going expire few days have mention working remote location be around december st also have issues connecting open due rights restrictions you think we could fix somehow best regards,45
Access,access for tuesday hi please create once user created add him thank head analysis,access for tuesday hi please create once user created add him thank head analysis,14
Access,your password expire days friday october pm expire days hi please per thank friday october pm re expire days hi work around wait updates thanks commercial change street manchester mob october re expire days hi confluence ask change yourself automated reminder let good moment make regards friday october pm expire days importance high hi doing relates thanks commercial change street manchester mob october expire days importance high dear expire days change pc press ctrl alt delete choose change thanks ext originated please detailed disclaimer has automatically added by gateway comply requirement arrived via cautious about origin content replies which contain sensitive information contractual obligations particularly vulnerable these cases adequate employed questions please speak please consider environment printing proud responsible corporate responsibility registered wales st court chart way west rh by regulation authority regulated by conduct authority regulation authority protection calls recorded monitored information confidential copied by intended received error please immediately by returning please delete disclose contents anyone responsibility accepted loss damage arising viruses changes made after originated please detailed disclaimer has automatically added by gateway comply requirement arrived via cautious about origin content replies which contain sensitive information contractual obligations particularly vulnerable these cases adequate employed questions please speak please consider environment printing proud responsible corporate responsibility registered wales st court chart way west rh by regulation authority regulated by conduct authority regulation authority protection calls recorded monitored information confidential copied by intended received error please immediately by returning please delete disclose contents anyone responsibility accepted loss damage arising viruses changes made after,your password expire days friday october pm expire days hi please per thank friday october pm re expire days hi work around wait updates thanks commercial change street manchester mob october re expire days hi confluence ask change yourself automated reminder let good moment make regards friday october pm expire days importance high hi doing relates thanks commercial change street manchester mob october expire days importance high dear expire days change pc press ctrl alt delete choose change thanks ext originated please detailed disclaimer has automatically added by gateway comply requirement arrived via cautious about origin content replies which contain sensitive information contractual obligations particularly vulnerable these cases adequate employed questions please speak please consider environment printing proud responsible corporate responsibility registered wales st court chart way west rh by regulation authority regulated by conduct authority regulation authority protection calls recorded monitored information confidential copied by intended received error please immediately by returning please delete disclose contents anyone responsibility accepted loss damage arising viruses changes made after originated please detailed disclaimer has automatically added by gateway comply requirement arrived via cautious about origin content replies which contain sensitive information contractual obligations particularly vulnerable these cases adequate employed questions please speak please consider environment printing proud responsible corporate responsibility registered wales st court chart way west rh by regulation authority regulated by conduct authority regulation authority protection calls recorded monitored information confidential copied by intended received error please immediately by returning please delete disclose contents anyone responsibility accepted loss damage arising viruses changes made after,254
Access,confluence access thursday pm confluence hi please give confluence job engineer,confluence access thursday pm confluence hi please give confluence job engineer,11
Administrative rights,set up and swap leased for new set up swap leased for,set up and swap leased for new set up swap leased for,12
Administrative rights,windows upgrade failed upgrade failed hello please raise ticket for issue below upgrade error thank you kind regards infrastructure manager ext phone sent friday upgrade failed hello sorry bother you can anyone help with upgrade regard developer en sent wednesday upgrade failed hello updating operating machine failed please find attached file upgrade failed regards developer en,windows upgrade failed upgrade failed hello please raise ticket for issue below upgrade error thank you kind regards infrastructure manager ext phone sent friday upgrade failed hello sorry bother you can anyone help with upgrade regard developer en sent wednesday upgrade failed hello updating operating machine failed please find attached file upgrade failed regards developer en,56
Administrative rights,outlook breaks when switching to cable sent monday november breaks when switching cable hi working using cable order connect recently whenever switch cable breaks remains try connect status could you please advise because issue receive late only after finish interrupt activities using cable kindest regards senior developer en,outlook breaks when switching to cable sent monday november breaks when switching cable hi working using cable order connect recently whenever switch cable breaks remains try connect status could you please advise because issue receive late only after finish interrupt activities using cable kindest regards senior developer en,48
Administrative rights,quarantine you have new assistance needed sent monday february you have hi can setup password can how can view thanks sent monday february you have dear you have your daily update bounces newsletter kb members bounces newsletter kb members info newsletter kb newsletter kb newsletter bounce mc newsletter kb created newsletter kb weekly activity report bounce ab newsletter kb week with members yoga workshop members others info newsletter kb your daily update bounces newsletter kb newsletter bounces newsletter kb your daily update bounces newsletter kb kb newsletter kb follow up info newsletter kb week dup newsletter kb newsletter kb newsletter kb be deleted automatically after days you can change frequency these within your portal log,quarantine you have new assistance needed sent monday february you have hi can setup password can how can view thanks sent monday february you have dear you have your daily update bounces newsletter kb members bounces newsletter kb members info newsletter kb newsletter kb newsletter bounce mc newsletter kb created newsletter kb weekly activity report bounce ab newsletter kb week with members yoga workshop members others info newsletter kb your daily update bounces newsletter kb newsletter bounces newsletter kb your daily update bounces newsletter kb kb newsletter kb follow up info newsletter kb week dup newsletter kb newsletter kb newsletter kb be deleted automatically after days you can change frequency these within your portal log,115
Administrative rights,outlook access on friday july pm hi wondering way personal phone calendar well tried search guide had luck thanks lead,outlook access on friday july pm hi wondering way personal phone calendar well tried search guide had luck thanks lead,20
